Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"1.8"" TFT display","Display the Spotify songs",1,8.82,"https://www.aliexpress.com/item/1005010626780549.html?spm=a2g0o.detail.0.0.54f8HsWOHsWOnl&mp=1&pdp_npi=6%40dis%21ALL%21ALL%201504.20%21ALL%20737.01%21%21ALL%20737.01%21%21%21%40212e520f17754777901898382e5512%2112000053015623592%21ct%21AL%217089683477%21%211%210%21","Ali Express"
"ESP32 LOLIN C3 mini","The brain of the project",1,9.44,"https://www.aliexpress.com/item/1005004740051202.html","Ali Express"
